,,II.,40,400,401,402,4020,4021,4022,4023,4024,4025,4026,4027,4029,403,4031,4032,4033,4034,409,41,410,4100,4102,411,4110,4111,4112,4113,4117,4119,412,4120,413,4130,4131,4132,4133,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,430,4300,4301,4302,4303,4304,4305,4306,4307,4308,III.
,,SKUPAJ ODHODKI,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,PRORAČUNSKI PRESEŽEK (PRIMANKLJAJ) I.-II.
,,40+41+42+43,400+401+402+403+409,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,SREDSTVA IZLOČENA V REZERVE,(410+411+412+413),SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI NEPROFITNIM ORGANIZACIJAM IN USTANOVAM,TRANSFERI NEPROFITNIM ORGANIZACIJAM IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,430,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI)
,- v EUR,,,,,,Pisarniški in splošni material in storitve,Posebni materiali in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdržavanje,Najemnine in zakupnine,Kazni in odškodnine,Drugi operativni stroški,,Plačila obresti od kreditov poslovnim bankam,Plačila obresti od kreditov drugim finančnim institucijam,Plačila obresti od kreditov drugim domačim kreditodajalcem,Plačila obresti od vrednostnih papirjev,,,,Subvencije javnim podjetjem,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,"Transf. vojn. invalid., vojnim veter. in žrtvam vojnega nasilja",Štipendije,Drugi transferi posameznikom,,Tekoči transferi neprofitnim organizacijam in ustanovam,,"Tekoči transferi drugim ravnem države, drugim lokalnim skupnostim in ožjim delom lokalnih skupnosti",Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v druge javne sklade in agencije,Tekoči transferi v javne zavode in dr. izvajalce javnih služb,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,Študije o izvedljivosti projektov in projektna dokumentacija,,,"Investicijski transferi drugim ravnem države, drugim lokalnim skupnostim in ožjim delom lokalnih skupnosti",Kapitalski transferi javnim skladom in agencijam,Investicijski transferi neprofitnim organizacijam ,Investicijski transferi javnim podjetjem,Kapitalski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem in zasebnikom,Investicijski transferi posameznikom ,Investicijski transferi javnim zavodom in drugim izvajalcem javnih služb,Investicijski transferi v tujino,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,7.080.805 ,1.062.702 ,275.768 ,37.498 ,708.688 ,34.927 ,3.722 ,90.106 ,5.483 ,2.308 ,388.712 ,12.402 ,0 ,171.027 ,1.557 ,1.557 ,0 ,0 ,0 ,39.192 ,2.682.745 ,21.019 ,21.019 ,0 ,1.207.974 ,0 ,0 ,7.849 ,0 ,0 ,1.200.125 ,182.595 ,182.595 ,1.271.157 ,144.225 ,56.839 ,218.198 ,851.895 ,2.883.763 ,2.883.763 ,495.268 ,0 ,34.982 ,0 ,1.700.542 ,274.587 ,100.050 ,0 ,278.334 ,451.594 ,451.594 ,205.625 ,0 ,21.303 ,0 ,0 ,0 ,0 ,224.666 ,0 ,-423.556 
2.,BELTINCI,3.867.460 ,856.668 ,155.154 ,22.071 ,671.098 ,62.051 ,19.408 ,201.623 ,3.393 ,3.030 ,265.098 ,0 ,0 ,116.496 ,0 ,0 ,0 ,0 ,0 ,8.346 ,1.724.303 ,449.424 ,0 ,449.424 ,811.784 ,5.379 ,0 ,0 ,0 ,0 ,806.405 ,188.266 ,188.266 ,274.829 ,160.436 ,0 ,12.139 ,102.253 ,742.927 ,742.927 ,97.621 ,0 ,42.205 ,3.526 ,500.726 ,0 ,125 ,0 ,98.723 ,543.561 ,543.561 ,159.452 ,35.078 ,0 ,0 ,0 ,25.017 ,0 ,324.015 ,0 ,-234.368 
3.,BENEDIKT,1.049.691 ,169.229 ,70.426 ,9.235 ,83.596 ,29.657 ,0 ,8.287 ,2.408 ,1.189 ,5.930 ,0 ,0 ,36.125 ,1.052 ,1.052 ,0 ,0 ,0 ,4.920 ,449.082 ,38.971 ,0 ,38.971 ,60.624 ,0 ,0 ,0 ,0 ,0 ,60.624 ,41.483 ,41.483 ,308.004 ,0 ,8.559 ,0 ,299.445 ,356.055 ,356.055 ,0 ,0 ,8.893 ,0 ,278.263 ,0 ,22.684 ,0 ,46.215 ,75.325 ,75.325 ,0 ,0 ,0 ,0 ,0 ,0 ,75.325 ,0 ,0 ,-85.545 
4.,BISTRICA OB SOTLI,616.629 ,179.140 ,39.580 ,5.291 ,132.182 ,42.142 ,4.002 ,11.718 ,3.655 ,1.773 ,39.488 ,7.808 ,0 ,21.595 ,0 ,0 ,0 ,0 ,0 ,2.086 ,264.484 ,6.814 ,0 ,6.814 ,144.809 ,3.818 ,250 ,8.842 ,0 ,0 ,131.898 ,30.062 ,30.062 ,82.799 ,0 ,11.697 ,0 ,71.102 ,171.486 ,171.486 ,37.556 ,0 ,45.289 ,300 ,56.314 ,19.533 ,0 ,0 ,12.494 ,1.519 ,1.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.519 ,0 ,51.744 
5.,BLED,4.620.998 ,1.771.019 ,395.452 ,56.577 ,1.270.915 ,185.265 ,31.802 ,55.333 ,7.465 ,12.815 ,672.292 ,123.172 ,526 ,182.244 ,6.489 ,6.489 ,0 ,0 ,0 ,41.587 ,1.637.414 ,38.316 ,618 ,37.698 ,63.808 ,4.369 ,7.941 ,0 ,0 ,0 ,51.498 ,277.646 ,277.646 ,1.257.645 ,1.085 ,17.873 ,10.174 ,1.228.514 ,1.022.392 ,1.022.392 ,146.052 ,0 ,103.914 ,0 ,438.946 ,149.195 ,67.823 ,0 ,116.462 ,190.173 ,190.173 ,0 ,0 ,41.266 ,0 ,0 ,0 ,0 ,148.907 ,0 ,-201.506 
6.,BLOKE,712.110 ,98.047 ,23.877 ,3.484 ,67.080 ,11.755 ,0 ,20.802 ,0 ,2.182 ,2.370 ,384 ,0 ,29.586 ,100 ,0 ,0 ,100 ,0 ,3.505 ,293.394 ,12.715 ,12.506 ,209 ,97.934 ,0 ,730 ,10.553 ,0 ,0 ,86.651 ,22.605 ,22.605 ,160.140 ,0 ,5.033 ,0 ,155.108 ,308.463 ,308.463 ,0 ,0 ,3.355 ,0 ,262.318 ,33.634 ,1.794 ,0 ,7.361 ,12.206 ,12.206 ,0 ,0 ,11.238 ,0 ,0 ,0 ,134 ,835 ,0 ,-7.703 
7.,BOHINJ,2.422.838 ,921.086 ,163.182 ,20.956 ,703.030 ,124.545 ,312.227 ,78.000 ,81.418 ,5.016 ,7.419 ,1.114 ,4.532 ,88.758 ,7.023 ,7.023 ,0 ,0 ,0 ,26.895 ,731.372 ,45.168 ,20.961 ,24.207 ,370.940 ,2.512 ,7.194 ,0 ,0 ,12.214 ,349.019 ,113.892 ,113.892 ,201.373 ,24.741 ,6.389 ,5.696 ,164.547 ,656.372 ,656.372 ,33.008 ,51.281 ,25.605 ,28.472 ,264.939 ,216.996 ,288 ,0 ,35.783 ,114.009 ,114.009 ,55.500 ,0 ,24.608 ,0 ,0 ,2.458 ,0 ,31.443 ,0 ,-57.019 
8.,BOROVNICA ,1.356.743 ,288.566 ,75.138 ,7.361 ,197.137 ,15.056 ,8.179 ,25.330 ,26.298 ,2.128 ,96.182 ,4.019 ,0 ,19.947 ,1.519 ,0 ,1.519 ,0 ,0 ,7.411 ,536.484 ,28.247 ,4.215 ,24.032 ,38.629 ,0 ,0 ,0 ,0 ,376 ,38.253 ,69.559 ,69.559 ,400.050 ,0 ,6.522 ,3.493 ,390.035 ,509.765 ,509.765 ,127.387 ,0 ,7.607 ,0 ,286.997 ,62.615 ,14.601 ,0 ,10.558 ,21.929 ,21.929 ,0 ,0 ,1.669 ,0 ,0 ,0 ,0 ,20.260 ,0 ,-35.866 
9.,BOVEC,2.930.658 ,811.392 ,173.051 ,24.829 ,600.580 ,77.692 ,0 ,97.008 ,0 ,10.921 ,23.456 ,164.042 ,0 ,227.462 ,5.696 ,0 ,0 ,5.696 ,0 ,7.236 ,689.989 ,20.527 ,0 ,20.527 ,123.030 ,0 ,79 ,5.600 ,0 ,0 ,117.351 ,85.749 ,85.749 ,460.683 ,7.403 ,11.459 ,1.786 ,440.035 ,1.428.843 ,1.428.843 ,0 ,0 ,17.873 ,1.331 ,626.857 ,622.788 ,33.479 ,0 ,126.515 ,434 ,434 ,0 ,0 ,434 ,0 ,0 ,0 ,0 ,0 ,0 ,14.851 
10.,BRASLOVČE,2.066.537 ,518.524 ,77.988 ,10.270 ,430.266 ,26.335 ,4.123 ,36.430 ,3.948 ,2.036 ,290.377 ,0 ,1.924 ,65.093 ,0 ,0 ,0 ,0 ,0 ,0 ,1.165.899 ,458.659 ,0 ,458.659 ,366.675 ,0 ,7.152 ,1.435 ,0 ,0 ,358.087 ,137.227 ,137.227 ,203.338 ,98.293 ,17.969 ,0 ,87.076 ,343.265 ,343.265 ,0 ,18.035 ,21.632 ,3.560 ,264.789 ,23.047 ,0 ,0 ,12.202 ,38.850 ,38.850 ,0 ,0 ,23.014 ,0 ,0 ,15.836 ,0 ,0 ,0 ,-194.663 
11.,BRDA,2.210.462 ,435.466 ,185.712 ,21.720 ,200.676 ,77.963 ,2.086 ,26.895 ,6.856 ,7.566 ,11.705 ,1.832 ,0 ,65.774 ,22.350 ,18.595 ,129 ,3.626 ,0 ,5.008 ,1.020.168 ,16.871 ,0 ,16.871 ,333.438 ,0 ,0 ,0 ,0 ,0 ,333.438 ,121.962 ,121.962 ,547.897 ,10.474 ,0 ,0 ,537.423 ,702.821 ,702.821 ,28.184 ,10.386 ,8.208 ,0 ,315.477 ,335.541 ,3.906 ,0 ,1.118 ,52.007 ,52.007 ,0 ,0 ,0 ,7.031 ,26.824 ,0 ,0 ,18.152 ,0 ,59.197 
12.,BREZOVICA,2.213.687 ,522.279 ,113.462 ,13.403 ,376.281 ,102.779 ,0 ,34.260 ,1.356 ,947 ,216.750 ,0 ,0 ,20.189 ,19.133 ,355 ,0 ,18.778 ,0 ,0 ,1.281.735 ,87.869 ,0 ,87.869 ,156.309 ,0 ,0 ,0 ,0 ,0 ,156.309 ,101.940 ,101.940 ,935.616 ,35.111 ,22.626 ,0 ,877.879 ,292.610 ,292.610 ,0 ,0 ,29.628 ,0 ,231.059 ,0 ,12.168 ,0 ,19.755 ,117.063 ,117.063 ,0 ,0 ,16.884 ,0 ,0 ,0 ,0 ,100.179 ,0 ,550.751 
13.,BREŽICE,8.835.299 ,2.532.962 ,498.272 ,69.463 ,1.934.251 ,314.438 ,11.200 ,227.700 ,36.313 ,8.095 ,1.107.507 ,13.775 ,50.764 ,164.459 ,12.577 ,1.123 ,0 ,11.455 ,0 ,18.398 ,4.374.207 ,223.698 ,67.530 ,156.168 ,1.915.799 ,1.999 ,0 ,2.662 ,0 ,0 ,1.911.138 ,539.167 ,539.167 ,1.695.543 ,742.514 ,130.817 ,8.680 ,813.533 ,1.287.435 ,1.287.435 ,153.718 ,0 ,48.594 ,989 ,951.402 ,0 ,2.107 ,0 ,130.625 ,640.694 ,640.694 ,60.328 ,0 ,0 ,35.174 ,0 ,444.625 ,50.075 ,50.492 ,0 ,208.242 
14.,CANKOVA,927.621 ,124.432 ,51.390 ,6.952 ,59.823 ,16.107 ,860 ,4.953 ,2.295 ,2.445 ,5.049 ,1.878 ,0 ,26.235 ,6.084 ,6.084 ,0 ,0 ,0 ,184 ,481.084 ,122.755 ,0 ,122.755 ,107.916 ,20.564 ,0 ,0 ,0 ,0 ,87.352 ,47.567 ,47.567 ,202.846 ,2.516 ,21.737 ,0 ,178.593 ,310.883 ,310.883 ,0 ,11.054 ,12.381 ,0 ,262.606 ,13.241 ,8.513 ,3.088 ,0 ,11.221 ,11.221 ,0 ,0 ,9.135 ,2.086 ,0 ,0 ,0 ,0 ,0 ,-58.742 
15.,CELJE (M),21.968.816 ,4.081.752 ,1.766.404 ,247.901 ,1.863.458 ,202.500 ,106.372 ,592.038 ,23.089 ,12.143 ,293.799 ,15.056 ,0 ,618.461 ,109.823 ,109.823 ,0 ,0 ,0 ,94.166 ,13.037.097 ,325.013 ,208.592 ,116.420 ,1.446.098 ,0 ,0 ,166.341 ,0 ,0 ,1.279.757 ,229.753 ,229.753 ,11.036.234 ,72.396 ,363.829 ,333.834 ,10.266.174 ,2.770.335 ,2.770.335 ,61.334 ,8.538 ,289.288 ,117 ,1.695.848 ,0 ,362.786 ,0 ,352.424 ,2.079.632 ,2.079.632 ,0 ,0 ,0 ,833.600 ,0 ,0 ,0 ,1.246.032 ,0 ,2.847.413 
16.,CERKLJE NA GORENJSKEM,4.360.019 ,348.331 ,66.921 ,9.164 ,249.274 ,31.869 ,5.638 ,28.092 ,3.071 ,534 ,111.042 ,25 ,0 ,69.004 ,0 ,0 ,0 ,0 ,0 ,22.972 ,583.730 ,44.584 ,0 ,44.584 ,419.508 ,2.003 ,11.517 ,9.915 ,0 ,1.306 ,394.767 ,58.742 ,58.742 ,60.896 ,0 ,0 ,1.490 ,59.406 ,3.414.952 ,3.414.952 ,1.071.215 ,7.248 ,8.559 ,631.063 ,1.119.308 ,120.251 ,377.470 ,0 ,79.836 ,13.007 ,13.007 ,0 ,0 ,9.585 ,2.788 ,0 ,0 ,217 ,417 ,0 ,-994.275 
17.,CERKNICA,3.928.084 ,519.208 ,248.556 ,34.781 ,207.620 ,47.187 ,50 ,54.102 ,4.181 ,2.137 ,22.496 ,1.815 ,0 ,75.651 ,28.251 ,0 ,16.295 ,11.955 ,0 ,0 ,2.233.450 ,29.849 ,0 ,29.849 ,309.356 ,0 ,0 ,1.844 ,0 ,0 ,307.511 ,191.174 ,191.174 ,1.703.071 ,0 ,31.368 ,6.864 ,1.664.839 ,1.175.426 ,1.175.426 ,0 ,0 ,19.246 ,0 ,1.071.357 ,16.692 ,5.421 ,0 ,62.711 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-47.371 
18.,CERKNO,2.294.099 ,640.648 ,123.907 ,18.557 ,470.301 ,67.793 ,0 ,36.747 ,2.883 ,2.057 ,105.028 ,2.404 ,125 ,253.263 ,2.224 ,0 ,0 ,2.224 ,0 ,25.659 ,888.182 ,24.474 ,0 ,24.474 ,343.678 ,0 ,0 ,1.965 ,0 ,2.086 ,339.626 ,104.069 ,104.069 ,415.961 ,45.919 ,12.832 ,7.023 ,350.188 ,698.890 ,698.890 ,0 ,0 ,18.582 ,39.518 ,285.098 ,337.047 ,14.551 ,0 ,4.094 ,66.379 ,66.379 ,0 ,0 ,12.519 ,0 ,0 ,0 ,4.240 ,49.620 ,0 ,-15.444 
19.,CERKVENJAK,1.114.263 ,122.212 ,63.307 ,7.015 ,46.069 ,17.589 ,0 ,5.775 ,2.959 ,1.064 ,4.811 ,0 ,0 ,13.871 ,785 ,0 ,0 ,785 ,0 ,5.037 ,347.258 ,5.396 ,0 ,5.396 ,63.867 ,0 ,0 ,0 ,0 ,0 ,63.867 ,17.839 ,17.839 ,260.157 ,9.915 ,11.505 ,0 ,238.737 ,590.327 ,590.327 ,0 ,5.033 ,1.657 ,0 ,505.834 ,40.098 ,19.763 ,0 ,17.944 ,54.465 ,54.465 ,0 ,0 ,1.698 ,0 ,0 ,0 ,47.826 ,4.941 ,0 ,-210.808 
20.,ČRENŠOVCI,1.699.049 ,165.373 ,78.814 ,12.965 ,61.075 ,27.328 ,3.405 ,10.232 ,0 ,5.996 ,1.936 ,472 ,0 ,11.705 ,0 ,0 ,0 ,0 ,0 ,12.519 ,690.014 ,153.146 ,0 ,153.146 ,53.426 ,0 ,0 ,0 ,0 ,0 ,53.426 ,38.575 ,38.575 ,444.867 ,69.004 ,30.149 ,0 ,345.714 ,679.857 ,679.857 ,0 ,0 ,5.008 ,0 ,631.047 ,19.437 ,17.706 ,0 ,6.660 ,163.804 ,163.804 ,112.936 ,0 ,13.754 ,0 ,0 ,0 ,0 ,37.114 ,0 ,281.481 
21.,ČRNA NA KOROŠKEM,1.987.352 ,708.525 ,144.696 ,20.643 ,531.806 ,53.142 ,26.456 ,92.852 ,5.049 ,2.362 ,247.367 ,14.701 ,117 ,89.760 ,3.034 ,3.034 ,0 ,0 ,0 ,8.346 ,658.684 ,27.596 ,15.077 ,12.519 ,150.563 ,1.419 ,0 ,33 ,0 ,0 ,149.111 ,183.847 ,183.847 ,296.678 ,3.059 ,0 ,0 ,293.620 ,611.238 ,611.238 ,14.605 ,0 ,46.432 ,526 ,517.668 ,6.030 ,4.252 ,0 ,21.724 ,8.905 ,8.905 ,0 ,0 ,263 ,0 ,0 ,8.642 ,0 ,0 ,0 ,-86.029 
