,,75,750,7500,7501,7502,7503,7504,7505,7507,7508,7509,751,7510,7511,7512,7513,752,7520,44,440,4400,4401,4402,4403,4404,4405,4408,4409,441,4410,4411,4412,4413,4414,4415,442,4420,4421,443,4430,4431,VI.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PREJETA MINUS DANA POSOJILA IN SPREMEMBE KAPITALSKIH DELEŽEV
(IV - V)"
,,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,
,,750+751+752,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,KUPNINE IZ NASLOVA PRIVATIZACIJE,KUPNINE IZ NASLOVA PRIVATIZACIJE,440+441+442+443,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,"POVEČANJE NAMENSKEGA PREMOŽENJA V JAVNIH SKLADIH IN DRUGIH PRAVNIH OSEBAH JAVNEGA PRAVA, KI IMAJO PREMOŽENJE V SVOJI LASTI","POVEČANJE NAMENSKEGA PREMOŽENJA V JAVNIH SKLADIH IN DRUGIH PRAVNIH OSEBAH JAVNEGA PRAVA, KI IMAJO PREMOŽENJE V SVOJI LASTI","POVEČANJE NAMENSKEGA PREMOŽENJA V JAVNIH SKLADIH IN DRUGIH PRAVNIH OSEBAH JAVNEGA PRAVA, KI IMAJO PREMOŽENJE V SVOJI LASTI",
,- v EUR,,,Prejeta vračila danih posojil od posameznikov in zasebnikov,Prejeta vračila danih posojil od javnih skladov,"Prejeta vračila danih posojil od javnih podjetij in družb, ki so v lasti države ali občin",Prejeta vračila danih posojil od finančnih institucij,Prejeta vračila danih posojil od privatnih podjetij,Prejeta vračila danih posojil od občin,Prejeta vračila danih posojil državnemu proračunu,Prejeta vračila danih posojil od javnih agencij,Prejeta vračila plačanih poroštev,,"Sredstva, pridobljena s prodajo kapitalskih deležev v javnih podjetjih in družbah, ki so v lasti države ali občin","Sredstva, pridobljena s prodajo kapitalskih deležev v finančnih institucijah","Sredstva, pridobljena s prodajo kapitalskih deležev v privatnih podjetjih","Sredstva, pridobljena s prodajo drugih kapitalskih deležev",,Sredstva kupnin iz naslova privatizacije (kupnine od stanovanj),,,Dana posojila posameznikom in zasebnikom,Dana posojila javnim skladom,"Dana posojila javnim podjetjem in družbam, ki so v lasti države ali občin",Dana posojila finančnim institucijam,Dana posojila privatnim podjetjem,Dana posojila občinam,Dana posojila javnim agencijam,Plačila zapadlih poroštev,,"Povečanje kapitalskih deležev v javnih podjetjih in družbah, ki so v lasti države ali občin",Povečanje kapitalskih deležev v finančnih institucijah,Povečanje kapitalskih deležev v privatnih podjetjih,Skupna vlaganja (joint ventures),Povečanje kapitalskih deležev v tujino,Povečanje drugih finančnih naložb,,Dana posojila iz sredstev kupnin,"Sredstva kupnin, razporejena v javne sklade in agencije",,Povečanje namenskega premoženja v javnih skladih,"Povečanje premoženja v drugih pravnih osebah javnega prava, ki je v njihovi lasti",
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,213.850 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,213.850 ,212.819 ,0 ,1.031 ,0 ,0 ,0 ,75.530 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,75.530 ,66.767 ,0 ,8.763 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,138.320 
2.,BELTINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
3.,BENEDIKT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
4.,BISTRICA OB SOTLI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
5.,BLED,20.774 ,20.774 ,20.774 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.774 
6.,BLOKE,759 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,759 ,759 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,759 
7.,BOHINJ,56.439 ,8.350 ,8.350 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,48.089 ,0 ,0 ,48.089 ,0 ,0 ,0 ,1.335 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.335 ,0 ,1.335 ,0 ,0 ,0 ,55.103 
8.,BOROVNICA ,7.232 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,939 ,0 ,0 ,939 ,0 ,6.293 ,6.293 ,3.213 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.213 ,0 ,3.213 ,0 ,0 ,0 ,4.019 
9.,BOVEC,8.805 ,3.989 ,3.989 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.816 ,4.816 ,56.894 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55.254 ,55.254 ,0 ,0 ,0 ,0 ,0 ,1.640 ,0 ,1.640 ,0 ,0 ,0 ,-48.089 
10.,BRASLOVČE,4.870 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.870 ,4.870 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.870 
11.,BRDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26.072 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26.072 ,0 ,0 ,0 ,0 ,0 ,26.072 ,0 ,0 ,0 ,0 ,0 ,0 ,-26.072 
12.,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
13.,BREŽICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,59.836 ,31.151 ,31.151 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28.685 ,28.685 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-59.836 
14.,CANKOVA,2.535 ,2.535 ,2.535 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.535 
15.,MESTNA OBČINA CELJE,739 ,739 ,739 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,739 
16.,CERKLJE NA GORENJSKEM,36.438 ,36.438 ,36.438 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.438 
17.,CERKNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
18.,CERKNO,34.983 ,34.983 ,30.699 ,0 ,0 ,4.285 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34.983 
19.,CERKVENJAK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20.,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
21.,ČRNA NA KOROŠKEM,284 ,284 ,284 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.669 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,1.252 ,0 ,417 ,0 ,0 ,417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.385 
