,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,- V EUR
,,,01,0101,01019001,01019002,01019003,01019004,02,0201,02019001,0202,02029001,0203,02039001,03,0302,03029001,03029002,0303,03039001,04,0401,04019001,0402,04029001,04029002,0403,04039001,04039002,04039003,05,0502,05029001,06,0601,06019001,06019002,06019003,0602,06029001,06029002,0603,06039001,06039002,07,0703,07039001,07039002,08,0802,08029001,08029002,10,1003,10039001,11,1102,11029001,11029002,11029003,11029004,1103,11039001,11039002,1104,11049001,1105,11059001,12,1202,12029001,1204,12049001,1206,12069001,1207,12079001,13,1302,13029001,13029002,13029003,13029004,13029005,13029006,1303,13039001,1304,13049001,1305,13059001,1306,13069001,14,1401,14019001,1402,14029001,1403,14039001,14039002,15,1501,15019001,1502,15029001,15029002,15029003,1504,15049001,1505,15059001,1506,15069001,16,1602,16029001,16029002,16029003,1603,16039001,16039002,16039003,16039004,16039005,1605,16059001,16059002,16059003,1606,16069001,16069002,17,1702,17029001,1703,17039001,1705,17059001,1706,17069001,1707,17079001,17079002,18,1802,18029001,18029002,1803,18039001,18039002,18039003,18039004,18039005,18039006,1804,18049001,18049002,18049003,18049004,1805,18059001,18059002,19,1902,19029001,19029002,1903,19039001,19039002,19039003,19039004,1904,19049001,19049002,1905,19059001,19059002,1906,19069001,19069002,19069003,19069004,20,2001,20019001,2002,20029001,2004,20049001,20049002,20049003,20049004,20049005,20049006,22,2201,22019001,22019002,23,2302,23029001,23029002,2303,23039001,XXIV.
,,,"01
POLITIČNI SISTEM","01
POLITIČNI SISTEM","01
POLITIČNI SISTEM","01
POLITIČNI SISTEM","01
POLITIČNI SISTEM","01
POLITIČNI SISTEM","02
EKONOMSKA IN FISKALNA ADMINISTRACIJA","02
EKONOMSKA IN FISKALNA ADMINISTRACIJA","02
EKONOMSKA IN FISKALNA ADMINISTRACIJA","02
EKONOMSKA IN FISKALNA ADMINISTRACIJA","02
EKONOMSKA IN FISKALNA ADMINISTRACIJA","02
EKONOMSKA IN FISKALNA ADMINISTRACIJA","02
EKONOMSKA IN FISKALNA ADMINISTRACIJA","03
ZUNANJA POLITIKA IN MEDNARODNA POMOČ","03
ZUNANJA POLITIKA IN MEDNARODNA POMOČ","03
ZUNANJA POLITIKA IN MEDNARODNA POMOČ","03
ZUNANJA POLITIKA IN MEDNARODNA POMOČ","03
ZUNANJA POLITIKA IN MEDNARODNA POMOČ","03
ZUNANJA POLITIKA IN MEDNARODNA POMOČ","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","04
SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","05
ZNANOST IN TEHNOLOŠKI RAZVOJ","05
ZNANOST IN TEHNOLOŠKI RAZVOJ","05
ZNANOST IN TEHNOLOŠKI RAZVOJ","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","06
LOKALNA SAMOUPRAVA","07
OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","07
OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","07
OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","07
OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","08
NOTRANJE ZADEVE IN VARNOST","08
NOTRANJE ZADEVE IN VARNOST","08
NOTRANJE ZADEVE IN VARNOST","08
NOTRANJE ZADEVE IN VARNOST","10
TRG DELA IN DELOVNI POGOJI","10
TRG DELA IN DELOVNI POGOJI","10
TRG DELA IN DELOVNI POGOJI","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","11
KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","12
PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","12
PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","12
PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","12
PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","12
PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","12
PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","12
PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","12
PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","12
PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","13
PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","14
GOSPODARSTVO","14
GOSPODARSTVO","14
GOSPODARSTVO","14
GOSPODARSTVO","14
GOSPODARSTVO","14
GOSPODARSTVO","14
GOSPODARSTVO","14
GOSPODARSTVO","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","15
VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","16
PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","17
ZDRAVSTVENO VARSTVO","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","18
KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","19
IZOBRAŽEVANJE","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO","20
SOCIALNO VARSTVO",22 SERVISIRANJE JAVNEGA DOLGA,22 SERVISIRANJE JAVNEGA DOLGA,22 SERVISIRANJE JAVNEGA DOLGA,22 SERVISIRANJE JAVNEGA DOLGA,"23
INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","23
INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","23
INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","23
INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","23
INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","23
INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","SKUPAJ VSA PODROČJA
(OD 01 DO 23)"
,,INVESTICIJSKI ODHODKI (K2=42),,0101 Politični sistem,0101 Politični sistem,0101 Politični sistem,0101 Politični sistem,0101 Politični sistem,,"0201 Makro-ekonomsko planiranje, spremljanje in nadzor","0201 Makro-ekonomsko planiranje, spremljanje in nadzor",0202 Urejanje na področju fiskalne politike,0202 Urejanje na področju fiskalne politike,0203 Fiskalni nadzor,0203 Fiskalni nadzor,,0302 Mednarodno sodelovanje in udeležba,0302 Mednarodno sodelovanje in udeležba,0302 Mednarodno sodelovanje in udeležba,0303 Mednarodna pomoč,0303 Mednarodna pomoč,,0401 Kadrovska uprava,0401 Kadrovska uprava,0402 Informatizacija uprave,0402 Informatizacija uprave,0402 Informatizacija uprave,0403 Druge skupne administrativne službe,0403 Druge skupne administrativne službe,0403 Druge skupne administrativne službe,0403 Druge skupne administrativne službe,,0502 Znanstveno - raziskovalna dejavnost,0502 Znanstveno - raziskovalna dejavnost,,0601 Delovanje na področju lokalne samouprave ter koordinacija vladne in lokalne ravni,0601 Delovanje na področju lokalne samouprave ter koordinacija vladne in lokalne ravni,0601 Delovanje na področju lokalne samouprave ter koordinacija vladne in lokalne ravni,0601 Delovanje na področju lokalne samouprave ter koordinacija vladne in lokalne ravni,"0602 Sofinanciranje dejavnosti občin, ožjih delov občin in zvez občin","0602 Sofinanciranje dejavnosti občin, ožjih delov občin in zvez občin","0602 Sofinanciranje dejavnosti občin, ožjih delov občin in zvez občin",0603 Dejavnost občinske uprave,0603 Dejavnost občinske uprave,0603 Dejavnost občinske uprave,,0703 Varstvo pred naravnimi in drugimi nesrečami,0703 Varstvo pred naravnimi in drugimi nesrečami,0703 Varstvo pred naravnimi in drugimi nesrečami,,0802 Policijska in kriminalistična dejavnost,0802 Policijska in kriminalistična dejavnost,0802 Policijska in kriminalistična dejavnost,,1003 Aktivna politika zaposlovanja,1003 Aktivna politika zaposlovanja,,1102 Program reforme kmetijstva in živilstva,1102 Program reforme kmetijstva in živilstva,1102 Program reforme kmetijstva in živilstva,1102 Program reforme kmetijstva in živilstva,1102 Program reforme kmetijstva in živilstva,1103 Splošne storitve v kmetijstvu,1103 Splošne storitve v kmetijstvu,1103 Splošne storitve v kmetijstvu,1104 Gozdarstvo,1104 Gozdarstvo,1105 Ribištvo,1105 Ribištvo,,"1202 Urejanje, nadzor in oskrba na področju proizvodnje in distribucije električne energije","1202 Urejanje, nadzor in oskrba na področju proizvodnje in distribucije električne energije","1204 Urejanje, nadzor in oskrba na področju predelave in distribucije nafte in zemeljskega plina","1204 Urejanje, nadzor in oskrba na področju predelave in distribucije nafte in zemeljskega plina",1206 Urejanje področja učinkovite rabe in obnovljivih virov energije,1206 Urejanje področja učinkovite rabe in obnovljivih virov energije,"1207 Urejanje, nadzor in oskrba z drugimi vrstami energije","1207 Urejanje, nadzor in oskrba z drugimi vrstami energije",,1302 Cestni promet in infrastruktura,1302 Cestni promet in infrastruktura,1302 Cestni promet in infrastruktura,1302 Cestni promet in infrastruktura,1302 Cestni promet in infrastruktura,1302 Cestni promet in infrastruktura,1302 Cestni promet in infrastruktura,1303 Železniški promet in infrastruktura,1303 Železniški promet in infrastruktura,1304 Letalski promet in infrastruktura,1304 Letalski promet in infrastruktura,1305 Vodni promet in infrastruktura,1305 Vodni promet in infrastruktura,1306 Telekomunikacije in pošta,1306 Telekomunikacije in pošta,,1401 Urejanje in nadzor na področju gospodarstva in varstva potrošnikov,1401 Urejanje in nadzor na področju gospodarstva in varstva potrošnikov,1402 Pospeševanje in podpora gospodarski dejavnosti,1402 Pospeševanje in podpora gospodarski dejavnosti,"1403 Promocija Slovenije, razvoj turizma in gostinstva","1403 Promocija Slovenije, razvoj turizma in gostinstva","1403 Promocija Slovenije, razvoj turizma in gostinstva",,1501 Okoljevarstvene politike in splošne administrativne zadeve,1501 Okoljevarstvene politike in splošne administrativne zadeve,"1502 Zmanjševanje onesnaženja, kontrola in nadzor","1502 Zmanjševanje onesnaženja, kontrola in nadzor","1502 Zmanjševanje onesnaženja, kontrola in nadzor","1502 Zmanjševanje onesnaženja, kontrola in nadzor",1504 Upravljanje in nadzor vodnih virov,1504 Upravljanje in nadzor vodnih virov,1505 Pomoč in podpora ohranjanju narave,1505 Pomoč in podpora ohranjanju narave,1506 Splošne okoljevarstvene storitve,1506 Splošne okoljevarstvene storitve,,1602 Prostorsko in podeželsko planiranje in administracija,1602 Prostorsko in podeželsko planiranje in administracija,1602 Prostorsko in podeželsko planiranje in administracija,1602 Prostorsko in podeželsko planiranje in administracija,1603 Komunalna dejavnost,1603 Komunalna dejavnost,1603 Komunalna dejavnost,1603 Komunalna dejavnost,1603 Komunalna dejavnost,1603 Komunalna dejavnost,1605 Spodbujanje stanovanjske gradnje,1605 Spodbujanje stanovanjske gradnje,1605 Spodbujanje stanovanjske gradnje,1605 Spodbujanje stanovanjske gradnje,"1606 Upravljanje in razpolaganje z zemljišči (javno dobro, kmetijska, gozdna in stavbna zemljišča)","1606 Upravljanje in razpolaganje z zemljišči (javno dobro, kmetijska, gozdna in stavbna zemljišča)","1606 Upravljanje in razpolaganje z zemljišči (javno dobro, kmetijska, gozdna in stavbna zemljišča)",,1702 Primarno zdravstvo,1702 Primarno zdravstvo,1703 Bolnišnično varstvo,1703 Bolnišnično varstvo,1705 Zdravila in ortopedski pripomočki ter lekarniška dejavnost,1705 Zdravila in ortopedski pripomočki ter lekarniška dejavnost,1706 Preventivni programi zdravstvenega varstva,1706 Preventivni programi zdravstvenega varstva,1707 Drugi programi na področju zdravstva,1707 Drugi programi na področju zdravstva,1707 Drugi programi na področju zdravstva,,1802 Ohranjanje kulturne dediščine,1802 Ohranjanje kulturne dediščine,1802 Ohranjanje kulturne dediščine,1803 Programi v kulturi,1803 Programi v kulturi,1803 Programi v kulturi,1803 Programi v kulturi,1803 Programi v kulturi,1803 Programi v kulturi,1803 Programi v kulturi,1804 Podpora posebnim skupinam,1804 Podpora posebnim skupinam,1804 Podpora posebnim skupinam,1804 Podpora posebnim skupinam,1804 Podpora posebnim skupinam,1805 Šport in prostočasne aktivnosti,1805 Šport in prostočasne aktivnosti,1805 Šport in prostočasne aktivnosti,,1902 Varstvo in vzgoja predšolskih otrok,1902 Varstvo in vzgoja predšolskih otrok,1902 Varstvo in vzgoja predšolskih otrok,1903 Primarno in sekundarno izobraževanje,1903 Primarno in sekundarno izobraževanje,1903 Primarno in sekundarno izobraževanje,1903 Primarno in sekundarno izobraževanje,1903 Primarno in sekundarno izobraževanje,1904 Terciarno izobraževanje,1904 Terciarno izobraževanje,1904 Terciarno izobraževanje,1905 Drugi izobraževalni programi,1905 Drugi izobraževalni programi,1905 Drugi izobraževalni programi,1906 Pomoči šolajočim,1906 Pomoči šolajočim,1906 Pomoči šolajočim,1906 Pomoči šolajočim,1906 Pomoči šolajočim,,2001 Urejanje in nadzor sistema socialnega varstva,2001 Urejanje in nadzor sistema socialnega varstva,2002 Varstvo otrok in družine,2002 Varstvo otrok in družine,2004 Izvajanje programov socialnega varstva,2004 Izvajanje programov socialnega varstva,2004 Izvajanje programov socialnega varstva,2004 Izvajanje programov socialnega varstva,2004 Izvajanje programov socialnega varstva,2004 Izvajanje programov socialnega varstva,2004 Izvajanje programov socialnega varstva,,2201 Servisiranje javnega dolga,2201 Servisiranje javnega dolga,2201 Servisiranje javnega dolga,,2302 Posebna proračunska rezerva in programi pomoči v primerih nesreč,2302 Posebna proračunska rezerva in programi pomoči v primerih nesreč,2302 Posebna proračunska rezerva in programi pomoči v primerih nesreč,2303 Splošna proračunska rezervacija,2303 Splošna proračunska rezervacija,
